Level1,Level2,Level3,Level4,Level5,Level6,Level7,
1 Land/water protection,1.1 Site/area stewardship,,,,,,
1 Land/water protection,1.1 Site/area stewardship,,,,,,
1 Land/water protection,1.1 Site/area stewardship,,,,,,
1 Land/water protection,1.2 Ecosystem & natural process (re)creation,Habitat management,Grazing in non-crop habitat,Use fewer grazers to manage vegetation (vs conventional),,,
1 Land/water protection,1.2 Ecosystem & natural process (re)creation,Habitat management,Grazing in non-crop habitat,Use fences or exclude grazers by other methods,,,
1 Land/water protection,1.2 Ecosystem & natural process (re)creation,Habitat management,Grazing in non-crop habitat,Use grazers to manage vegetation (vs no grazers),,,
1 Land/water protection,1.2 Ecosystem & natural process (re)creation,Habitat management,Mowing in non-crop habitat,,,,
1 Land/water protection,1.2 Ecosystem & natural process (re)creation,Habitat management,Planting in non-crop habitat (planting non-crop species),Planting in field margins,Plant buffer strips between fields and watercourses,,
1 Land/water protection,1.2 Ecosystem & natural process (re)creation,Habitat management,Planting in non-crop habitat (planting non-crop species),Planting in field margins,Plant flower strips (non-woody vegetation) along field margins,,
1 Land/water protection,1.2 Ecosystem & natural process (re)creation,Habitat management,Planting in non-crop habitat (planting non-crop species),Planting in field margins,Plant hedgerows or shelterbelts (woody vegetation) along field margins,,
1 Land/water protection,1.2 Ecosystem & natural process (re)creation,Habitat management,Planting in non-crop habitat (planting non-crop species),Planting in other non-crop habitats,Plant non-woody vegetation to restore non-crop habitats,,
1 Land/water protection,1.2 Ecosystem & natural process (re)creation,Habitat management,Planting in non-crop habitat (planting non-crop species),Planting in other non-crop habitats,Plant woody vegetation to restore non-crop habitats,,
1 Land/water protection,1.2 Ecosystem & natural process (re)creation,Habitat management,Planting in non-crop habitat (planting non-crop species),Planting on the edges of terraces,,,
1 Land/water protection,1.2 Ecosystem & natural process (re)creation,Habitat management,"Providing resources for pollinators, natural enemies, and other beneficial wildlife",Providing food for wildlife,,,
1 Land/water protection,1.2 Ecosystem & natural process (re)creation,Habitat management,"Providing resources for pollinators, natural enemies, and other beneficial wildlife",Providing structures for wildlife,,,
1 Land/water protection,1.2 Ecosystem & natural process (re)creation,Habitat management,"Providing resources for pollinators, natural enemies, and other beneficial wildlife",Providing structures for wildlife,,,
1 Land/water protection,1.2 Ecosystem & natural process (re)creation,Habitat management,"Providing resources for pollinators, natural enemies, and other beneficial wildlife",Providing structures for wildlife,,,
2 Species management,2.1 Species stewardship,,,,,,
2 Species management,2.2 Species re-introduction & translocation,,,,,,
2 Species management,2.3 Ex situ conservation,,,,,,
3 Awareness raising,3.1 Outreach & communications,Information,Provide information to farmers,Provide data to farmers (including market prices),,,
3 Awareness raising,3.1 Outreach & communications,Information,Provide information to farmers,Provide decision-support tools to farmers,,,
3 Awareness raising,3.1 Outreach & communications,Communications,Promote sustainable agriculture,,,,
3 Awareness raising,3.1 Outreach & communications,Communications,Promote best management practices,,,,
3 Awareness raising,3.2 Protests & civil disobediance,,,,,,
4 Law enforcement & prosecution,4.1 Detection & arrest,,,,,,
4 Law enforcement & prosecution,4.2 Criminal prosecution & conviction,,,,,,
4 Law enforcement & prosecution,4.3 Non-criminal legal action,Fines,Impose fines on companies,,,,
4 Law enforcement & prosecution,4.3 Non-criminal legal action,Fines,Impose fines on farmers,,,,
"5 Livelihood, economic & moral incentives",5.1 Linked enterprises & alternative livelihoods,,,,,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,"Pathogens, pests, and weeds","Pathogen control (bacteria, fungi, and viruses)",Biological control of pathogens,,,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,"Pathogens, pests, and weeds","Pathogen control (bacteria, fungi, and viruses)",Chemical control of pathogens,Use fungicide (vs no fungicide),,
"5 Livelihood, economic & moral incentives",5.2 Better products & management practices,"Pathogens, pests, and weeds","Pathogen control (bacteria, fungi, and viruses)",Chemical control of pathogens,Use less fungicide,,
