Code1,Level1,Code2,Level2,Code3,Level3,Code4,Level4,Code5,Level5,Level6,Level7
10,Invasive species management,10,Invasion prevention,10,Surveillance,TC,Monitoring species/vectors/pathways (vs control),,,,
10,Invasive species management,10,Invasion prevention,10,Surveillance,TT,Monitoring species/vectors/pathways using a different method/tool,,,,
10,Invasive species management,10,Invasion prevention,20,Border control (preventing high-risk species/vectors from crossing the border),TC,Customs inspections (vs control),,,,
10,Invasive species management,10,Invasion prevention,20,Border control (preventing high-risk species/vectors from crossing the border),TT,Customs inspections using a different method/tool,,,,
10,Invasive species management,10,Invasion prevention,30,Quarantine,TC,Quarantining (vs control),,,,
10,Invasive species management,10,Invasion prevention,30,Quarantine,TT,Quarantining using a different method/tool,,,,
10,Invasive species management,20,Invasive plant management,10,Biological control of invasive plants,TC,Biological control of invasive plants (vs no biological control),,,,
10,Invasive species management,20,Invasive plant management,10,Biological control of invasive plants,TT,Using a different method/tool/species for biological control of invasive plants,,,,
10,Invasive species management,20,Invasive plant management,20,Chemical control of invasive plants,TC,Chemical control of invasive plants (vs no chemical control),10,Using a herbicide or mixture of herbicides,,
10,Invasive species management,20,Invasive plant management,20,Chemical control of invasive plants,TT,Using a different method/tool/chemical for chemical control of invasive plants,10,Using a different amount of herbicide,,
10,Invasive species management,20,Invasive plant management,20,Chemical control of invasive plants,TT,Using a different method/tool/chemical for chemical control of invasive plants,20,Using a different method of applying herbicide,,
10,Invasive species management,20,Invasive plant management,20,Chemical control of invasive plants,TT,Using a different method/tool/chemical for chemical control of invasive plants,30,Using a different type of herbicide or mixture of herbicides,,
10,Invasive species management,20,Invasive plant management,30,Physical/mechanical control of invasive plants,TC,Physical/mechanical control of invasive plants (vs no physical/mechanical control),10,"Burning invasive plants (also see ""burning"" in ""habitat management"" for habitat-wide interventions)",,
10,Invasive species management,20,Invasive plant management,30,Physical/mechanical control of invasive plants,TC,Physical/mechanical control of invasive plants (vs no physical/mechanical control),20,"Cutting/chopping invasive plants (also see ""mowing"" for habitat-wide interventions)",,
10,Invasive species management,20,Invasive plant management,30,Physical/mechanical control of invasive plants,TC,Physical/mechanical control of invasive plants (vs no physical/mechanical control),30,"Uprooting/removing invasive plants (also see ""plowing"" for habitat-wide interventions)",,
10,Invasive species management,20,Invasive plant management,30,Physical/mechanical control of invasive plants,TT,Using a different method/tool for physical/mechanical control of invasive plants,,,,
10,Invasive species management,20,Invasive plant management,40,"Integrated control of invasive plants, n.e.c.",TC,Integrated control of invasive plants (vs no integrated control),10,Cutting and using a herbicide or mixture of herbicides,,
10,Invasive species management,20,Invasive plant management,40,"Integrated control of invasive plants, n.e.c.",TT,Integrated control of invasive plants using a different method/tool/species,,,,
10,Invasive species management,30,"Invasive pathogen management (e.g., bacteria, fungi, and viruses)",10,Biological control of pathogens,TC,Biological control of pathogens (vs no biological control),,,,
10,Invasive species management,30,"Invasive pathogen management (e.g., bacteria, fungi, and viruses)",10,Biological control of pathogens,TT,Using a different method/tool/species for biological control of pathogens,,,,
10,Invasive species management,30,"Invasive pathogen management (e.g., bacteria, fungi, and viruses)",20,Chemical control of pathogens,TC,Chemical control of pathogens (vs no chemical control),10,Using a fungicide or mixture of fungicides,,
10,Invasive species management,30,"Invasive pathogen management (e.g., bacteria, fungi, and viruses)",20,Chemical control of pathogens,TT,Using a different method/tool/chemical for chemical control of pathogens,10,Using a different amount of fungicide,,
10,Invasive species management,30,"Invasive pathogen management (e.g., bacteria, fungi, and viruses)",20,Chemical control of pathogens,TT,Using a different method/tool/chemical for chemical control of pathogens,20,Using a different method of applying fungicide,,
10,Invasive species management,30,"Invasive pathogen management (e.g., bacteria, fungi, and viruses)",20,Chemical control of pathogens,TT,Using a different method/tool/chemical for chemical control of pathogens,30,Using a different type of fungicide or mixture of fungicides,,
10,Invasive species management,30,"Invasive pathogen management (e.g., bacteria, fungi, and viruses)",30,Physical/mechanical control of pathogens,TC,Physical/mechanical control of pathogens (vs no physical/mechanical control),10,Removing infected organisms from the area,,
10,Invasive species management,30,"Invasive pathogen management (e.g., bacteria, fungi, and viruses)",30,Physical/mechanical control of pathogens,TT,Using a different method/tool for physical/mechanical control of pathogens,,,,
10,Invasive species management,30,"Invasive pathogen management (e.g., bacteria, fungi, and viruses)",40,"Integrated control of invasive pathogens, n.e.c.",TC,Integrated control of invasive pathogens (vs no integrated control),,,,
10,Invasive species management,30,"Invasive pathogen management (e.g., bacteria, fungi, and viruses)",40,"Integrated control of invasive pathogens, n.e.c.",TT,Integrated control of invasive pathogens using a different method/tool/species,,,,
10,Invasive species management,40,"Invasive invertebrate management (e.g., insects and mites)",10,Biological control of invertebrates,TC,Biological control of invertebrates (vs no biological control),,,,
10,Invasive species management,40,"Invasive invertebrate management (e.g., insects and mites)",10,Biological control of invertebrates,TT,Using a different method/tool/species for biological control of invertebrates,,,,
10,Invasive species management,40,"Invasive invertebrate management (e.g., insects and mites)",20,Chemical control of invertebrates,TC,Chemical control of invertebrates (vs no chemical control),10,Using a pesticide or mixture of pesticides,,
10,Invasive species management,40,"Invasive invertebrate management (e.g., insects and mites)",20,Chemical control of invertebrates,TC,Chemical control of invertebrates (vs no chemical control),20,"Using chemical attractants/traps (e.g., pheromone traps)",,
10,Invasive species management,40,"Invasive invertebrate management (e.g., insects and mites)",20,Chemical control of invertebrates,TC,Chemical control of invertebrates (vs no chemical control),30,Using chemical deterrents,,
10,Invasive species management,40,"Invasive invertebrate management (e.g., insects and mites)",20,Chemical control of invertebrates,TT,Using a different method/tool/chemical for chemical control of invertebrates,10,Using a different amount of pesticide,,
10,Invasive species management,40,"Invasive invertebrate management (e.g., insects and mites)",20,Chemical control of invertebrates,TT,Using a different method/tool/chemical for chemical control of invertebrates,20,Using a different method of applying pesticide,,
10,Invasive species management,40,"Invasive invertebrate management (e.g., insects and mites)",20,Chemical control of invertebrates,TT,Using a different method/tool/chemical for chemical control of invertebrates,30,Using a different type of pesticide or mixture of pesticides,,
10,Invasive species management,40,"Invasive invertebrate management (e.g., insects and mites)",30,Physical/mechanical control of invertebrates,TC,Physical/mechanical control of invertebrates (vs no physical/mechanical control),10,Destroying/removing invertebrates using physical force,,
10,Invasive species management,40,"Invasive invertebrate management (e.g., insects and mites)",30,Physical/mechanical control of invertebrates,TC,Physical/mechanical control of invertebrates (vs no physical/mechanical control),20,"Using pressurized sprays (e.g., water cannons)",,
10,Invasive species management,40,"Invasive invertebrate management (e.g., insects and mites)",30,Physical/mechanical control of invertebrates,TC,Physical/mechanical control of invertebrates (vs no physical/mechanical control),30,"Using physical/mechanical traps (e.g., sticky traps)",,
10,Invasive species management,40,"Invasive invertebrate management (e.g., insects and mites)",30,Physical/mechanical control of invertebrates,TC,Physical/mechanical control of invertebrates (vs no physical/mechanical control),40,"Excluding invertebrates (e.g., using netting or other barriers)",,
10,Invasive species management,40,"Invasive invertebrate management (e.g., insects and mites)",30,Physical/mechanical control of invertebrates,TC,Physical/mechanical control of invertebrates (vs no physical/mechanical control),40,"Repelling/deterring invertebrates (e.g., using copper bands against slugs or other physical deterrents)",,
